term_code,class_nbr,course_code,class_code,section_code,primary_component,career,language,units,course_title_en,course_title_zh,teaching_staff,quota_total,vacancy,add_consent,drop_consent,course_offering_dept,source_snapshot_id,source_kind,captured_at
2420,8145,AIST4998,AIST4998Q,QJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor MENG Wei,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8142,AIST4998,AIST4998R,RJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor SHAO Zili,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8146,AIST4998,AIST4998S,SJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor TAO Yufei,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8133,AIST4998,AIST4998T,TJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor LIANG Xiao,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6323,AIST4998,AIST4998U,UJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor WANG Liwei,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8151,AIST4998,AIST4998V,VJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Dr. TIAN Yusheng,10,9,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8143,AIST4998,AIST4998W,WJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor LIU Weiyang,10,8,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6210,AIST4998,AIST4998X,XJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor XU Hong,10,9,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8144,AIST4998,AIST4998Y,YJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor WANG Zhengrong,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8147,AIST4998,AIST4998Z,ZJ01,PRJ,Undergraduate,E,3,Final Year Project I,畢業專題研究（一）,- Professor YANG Ming Chang,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6321,AIST4999,AIST4999-,-J01,PRJ,Undergraduate,E,3,Final Year Project II,畢業專題研究（二）,- Staff,10,10,Yes,Yes,Dept of Computer Sci & Engg,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,9353,ANTH1010,ANTH1010-,-T03,TUT,Undergraduate,E,3,Humans and Culture,人類與文化,- Professor Adam Daniel LIEBMAN,12,12,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,7536,ANTH1020,ANTH1020-,-T01,TUT,Undergraduate,E,3,Anth: The Study of Global Huma,人類學：環球人類研究,- Professor CHENG Sea Ling,80,76,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,9345,ANTH1100,ANTH1100-,-T01,TUT,Undergraduate,E,3,Understanding Anthropology,認識人類學,- Staff,40,38,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,9086,ANTH1410,ANTH1410-,-T03,TUT,Undergraduate,C&E&P,3,Culture of Hong Kong,香港的文化,- Dr. TANG Wai Man,30,30,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,7538,ANTH2110,ANTH2110-,-T03,TUT,Undergraduate,E,3,History of Anth Theory,人類學理論歷史,- Dr. Tim ROSENKRANZ,20,20,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,9513,ANTH2350,ANTH2350-,-T04,TUT,Undergraduate,E,3,Meanings of Life,生活的意義,- Professor Gordon Clark MATHEWS,15,15,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,7161,ANTH2360,ANTH2360-,-T02,TUT,Undergraduate,E,3,Ethics and Experience,倫理與人類體驗,- Professor KUAN Teresa,10,7,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,9504,ANTH2370,ANTH2370-,-T02,TUT,Undergraduate,C,3,Intangible Heritage in HK,香港的非物質文化遺產,- Professor CHEUNG Chin Hung Sidney,12,9,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,5215,ANTH2403,ANTH2403-,-T01,TUT,Undergraduate,E,3,Topics in Ethnography III,民族誌專題（三）,- Professor Aaron Jeffrey HAMES,20,18,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,7540,ANTH2420,ANTH2420-,-T01,TUT,Undergraduate,E,3,Culture and Modernity in China,中國的文化及現代性,- Staff,20,18,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,5142,ANTH2550,ANTH2550-,-T02,TUT,Undergraduate,E,3,Working Cultures,工作文化 - 認識廿十一世紀的,- Dr. Tim ROSENKRANZ,7,7,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,9704,ANTH2710,ANTH2710-,-T01,TUT,Undergraduate,C,3,Archaeology of China,中國考古學,- Professor WONG Wai Yee,30,26,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,5139,ANTH2720,ANTH2720-,-T02,TUT,Undergraduate,C,3,Archaeology of Hong Kong,香港考古學,- Professor WONG Wai Yee,15,13,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,7561,ANTH2810,ANTH2810-,-T01,TUT,Undergraduate,E,3,Human Evolution,人類的演化,- Staff,20,18,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,5286,ANTH3321,ANTH3321-,-T01,TUT,Undergraduate,E,3,Topics in Anthropology I,人類學專題（一）,- Professor TAM Man Kei,20,18,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,4736,ANTH3323,ANTH3323A,AT01,TUT,Undergraduate,E,3,Topics in Anthropology III,人類學專題（三）,- Professor Francesco VECCHIO,25,18,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,4734,ANTH3323,ANTH3323B,BT01,TUT,Undergraduate,C,3,Topics in Anthropology III,人類學專題（三）,- Professor LAM Weng Cheong,20,5,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,8445,ANTH3350,ANTH3350-,-T01,TUT,Undergraduate,C,3,Food and Culture,飲食與文化,- Professor CHEUNG Chin Hung Sidney,25,18,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6523,ANTH4300,ANTH4300-,-J01,PRJ,Undergraduate,E,3,Field Project I,人類學田野研究（一）,- Dr. TANG Wai Man,50,49,Yes,Yes,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,6524,ANTH4301,ANTH4301-,-J01,PRJ,Undergraduate,E,3,Field Project II,人類學田野研究（二）,- Dr. TANG Wai Man,30,30,Yes,Yes,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
2420,5040,ANTH4321,ANTH4321-,-T01,TUT,Undergraduate,E,3,Topics in Anthropology,人類學專題,- Staff,30,16,,,Dept of Anthropology,2026-08-15T01-53-13+08-00-full-term-1,current,
