entity_type,entity_id,term_code,course_code,class_nbr,status,reason,attempt_count,first_attempt_at,last_attempt_at,source_snapshot_id,raw_path
subject,FREN,2420,,,data,,1,2026-08-14T18:04:17.698Z,2026-08-14T18:04:22.836Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/FREN.json
subject,FTEC,2420,,,data,,1,2026-08-14T18:04:22.882Z,2026-08-14T18:04:27.912Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/FTEC.json
subject,GDRS,2420,,,data,,1,2026-08-14T18:04:27.964Z,2026-08-14T18:04:33.477Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GDRS.json
subject,GECC,2420,,,data,Complete result grid recaptured from the official public timetable.,2,2026-08-14T18:04:33.548Z,2026-08-14T18:04:44.594Z,2026-08-15T18-34-00+08-00-gap-recapture,data/cuhk-timetable/snapshots/2026-08-15T18-34-00+08-00-gap-recapture/raw/2420/GECC.json
subject,GECW,2420,,,data,,1,2026-08-14T18:04:44.661Z,2026-08-14T18:04:49.605Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GECW.json
subject,GEMC,2420,,,data,,1,2026-08-14T18:04:49.649Z,2026-08-14T18:04:54.653Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GEMC.json
subject,GENA,2420,,,data,,1,2026-08-14T18:05:00.710Z,2026-08-14T18:05:05.988Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GENA.json
subject,GERM,2420,,,data,,1,2026-08-14T18:05:06.033Z,2026-08-14T18:05:11.845Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GERM.json
subject,GESC,2420,,,data,,1,2026-08-14T18:05:11.884Z,2026-08-14T18:05:17.097Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GESC.json
subject,GESH,2420,,,data,,1,2026-08-14T18:05:17.141Z,2026-08-14T18:05:22.186Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GESH.json
subject,GEUC,2420,,,data,,1,2026-08-14T18:05:22.231Z,2026-08-14T18:05:27.600Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GEUC.json
subject,GEWS,2420,,,data,,1,2026-08-14T18:05:27.659Z,2026-08-14T18:05:32.553Z,2026-08-15T01-53-13+08-00-full-term-1,data/cuhk-timetable/snapshots/2026-08-15T01-53-13+08-00-full-term-1/raw/2420/GEWS.json
